"dgp","L","m","kappa","seed","available","cond","delivered","avail_top","avail_rest","frontier","interior","width","groups"
"affine",50,15,0.666666666666667,50050,0.98,0.979591836734694,0.96,0.8,1,0.888888888888889,1,0.0445961406527515,1
"affine",50,15,0.666666666666667,50051,0.98,0.938775510204082,0.92,0.8,1,1,0.9,0.0352364111907956,1
"affine",50,15,0.666666666666667,50052,0.98,1,0.98,0.8,1,1,1,0.0515864224021187,1
"affine",50,15,0.666666666666667,50053,0.98,1,0.98,0.8,1,1,1,0.07830611631075,1
"affine",50,15,0.666666666666667,50054,0.98,0.755102040816326,0.74,0.8,1,0.733333333333333,0.764705882352941,0.03344665568111,1
"affine",50,15,0.666666666666667,50055,0.98,1,0.98,0.8,1,1,1,0.0529136698741082,1
"affine",50,15,0.666666666666667,50056,0.98,1,0.98,0.8,1,1,1,0.0696136013807622,1
"affine",50,15,0.666666666666667,50057,0.96,1,0.96,0.6,1,1,1,0.0660821603250079,1
"affine",50,15,0.666666666666667,50058,0.96,1,0.96,0.6,1,1,1,0.0589016218443755,1
"affine",50,15,0.666666666666667,50059,0.96,0.6875,0.66,0.6,1,0.909090909090909,0.621621621621622,0.0478050341842581,0.5
"affine",50,15,0.666666666666667,50060,0.96,0.979166666666667,0.94,0.6,1,1,0.96551724137931,0.0411715626130451,1
"affine",50,15,0.666666666666667,50061,0.96,1,0.96,0.6,1,1,1,0.0504008878506745,1
"affine",50,15,0.666666666666667,50062,0.96,1,0.96,0.6,1,1,1,0.0616019949123618,1
"affine",50,15,0.666666666666667,50063,0.98,1,0.98,0.8,1,1,1,0.0378898791848786,1
"affine",50,15,0.666666666666667,50064,0.96,0.979166666666667,0.94,0.6,1,1,0.970588235294118,0.0696183768481094,1
"affine",50,15,0.666666666666667,50065,0.96,1,0.96,0.6,1,1,1,0.0622391468169051,1
"affine",50,15,0.666666666666667,50066,0.96,1,0.96,0.6,1,1,1,0.0390189276303547,1
"affine",50,15,0.666666666666667,50067,0.96,0.979166666666667,0.94,0.6,1,1,0.972972972972973,0.0660380494530629,0.5
"affine",50,15,0.666666666666667,50068,0.98,0.795918367346939,0.78,0.8,1,1,0.772727272727273,0.0590643956401804,0.5
"affine",50,15,0.666666666666667,50069,0.96,1,0.96,0.6,1,1,1,0.0839675541423601,1
"affine",50,15,0.666666666666667,50070,0.96,1,0.96,0.6,1,1,1,0.0713132057045774,1
"affine",50,15,0.666666666666667,50071,0.96,1,0.96,0.6,1,1,1,0.069563674334311,1
"affine",50,15,0.666666666666667,50072,0.98,1,0.98,0.8,1,1,1,0.0500886511957928,1
"affine",50,15,0.666666666666667,50073,0.98,0.877551020408163,0.86,0.8,1,1,0.8125,0.0502916580032854,0.5
